Level Control Trainer (UT35A) -17-Mar-2025 15:13:50, , , , , , ,
Time,Time s,SP %,PV %,OP %,PB %,IT s,DT s
15:08:26,1,60,60.1,50.1,75,0,0
15:08:27,2,60,60,50.1,75,0,0
15:08:28,3,60,60,50,75,0,0
15:08:29,4,60,60,50,75,0,0
15:08:30,5,60,60,50,75,0,0
15:08:31,6,60,60,50,75,0,0
15:08:32,7,60,60,49.9,75,0,0
15:08:33,8,60,59.9,49.9,75,0,0
15:08:34,9,60,59.9,49.9,75,0,0
15:08:35,10,60,59.9,49.8,75,0,0
15:08:36,11,60,59.8,49.7,75,0,0
15:08:37,12,60,59.8,49.7,75,0,0
15:08:38,13,60,59.8,49.7,75,0,0
15:08:39,14,60,59.7,49.6,75,0,0
15:08:40,15,60,59.7,49.6,75,0,0
15:08:41,16,60,59.7,49.6,75,0,0
15:08:42,17,60,59.7,49.5,75,0,0
15:08:43,18,60,59.6,49.5,75,0,0
15:08:44,19,60,59.6,49.5,75,0,0
15:08:45,20,60,59.6,49.4,75,0,0
15:08:46,21,60,59.6,49.4,75,0,0
15:08:47,22,60,59.5,49.4,75,0,0
15:08:48,23,60,59.5,49.3,75,0,0
15:08:49,24,60,59.5,49.3,75,0,0
15:08:50,25,60,59.5,49.3,75,0,0
15:08:51,26,60,59.5,49.3,75,0,0
15:08:52,27,60,59.4,49.2,75,0,0
15:08:53,28,60,59.4,49.2,75,0,0
15:08:54,29,60,59.4,49.2,75,0,0
15:08:55,30,60,59.4,49.2,75,0,0
15:08:56,31,60,59.3,49.1,75,0,0
15:08:57,32,60,59.3,49.1,75,0,0
15:08:58,33,60,59.3,49,75,0,0
15:08:59,34,60,59.3,49,75,0,0
15:09:00,35,60,59.3,49.1,75,0,0
15:09:01,36,60,59.2,48.9,75,0,0
15:09:02,37,60,59.2,49,75,0,0
15:09:03,38,60,59.2,48.9,75,0,0
15:09:04,39,60,59.2,48.9,75,0,0
15:09:06,40,60,59.2,48.9,75,0,0
15:09:06,41,60,59.2,48.9,75,0,0
15:09:08,42,60,59.1,48.8,75,0,0
15:09:09,43,60,59.1,48.8,75,0,0
15:09:09,44,60,59.1,48.8,75,0,0
15:09:10,45,60,59,48.6,75,0,0
15:09:11,46,60,59,48.7,75,0,0
15:09:13,47,60,58.9,48.6,75,0,0
15:09:14,48,60,58.9,48.6,75,0,0
15:09:15,49,60,58.9,48.6,75,0,0
15:09:16,50,60,58.9,48.6,75,0,0
15:09:17,51,60,58.9,48.6,75,0,0
15:09:18,52,60,58.9,48.6,75,0,0
15:09:19,53,60,58.9,48.5,75,0,0
15:09:20,54,60,58.8,48.4,75,0,0
15:09:21,55,60,58.9,48.5,75,0,0
15:09:22,56,60,58.8,48.4,75,0,0
15:09:23,57,60,58.8,48.4,75,0,0
15:09:24,58,60,58.7,48.3,75,0,0
15:09:25,59,60,58.7,48.3,75,0,0
15:09:26,60,60,58.7,48.3,75,0,0
15:09:27,61,60,58.7,48.3,75,0,0
15:09:28,62,60,58.6,48.2,75,0,0
15:09:29,63,60,58.7,48.2,75,0,0
15:09:30,64,60,58.6,48.2,75,0,0
15:09:31,65,60,58.6,48.2,75,0,0
15:09:32,66,60,58.6,48.2,75,0,0
15:09:33,67,60,58.6,48.2,75,0,0
15:09:34,68,60,58.6,48.1,75,0,0
15:09:35,69,60,58.5,48,75,0,0
15:09:36,70,60,58.5,48,75,0,0
15:09:37,71,60,58.5,48,75,0,0
15:09:38,72,60,58.5,48,75,0,0
15:09:39,73,60,58.5,47.9,75,0,0
15:09:40,74,60,58.4,47.9,75,0,0
15:09:41,75,60,58.5,48,75,0,0
15:09:42,76,60,58.4,47.9,75,0,0
15:09:43,77,60,58.4,47.9,75,0,0
15:09:44,78,60,58.4,47.8,75,0,0
15:09:45,79,60,58.3,47.8,75,0,0
15:09:46,80,60,58.3,47.7,75,0,0
15:09:47,81,60,58.3,47.8,75,0,0
15:09:48,82,60,58.3,47.7,75,0,0
15:09:49,83,60,58.3,47.8,75,0,0
15:09:50,84,60,58.3,47.8,75,0,0
15:09:51,85,60,58.3,47.7,75,0,0
15:09:52,86,60,58.2,47.6,75,0,0
15:09:53,87,60,58.3,47.7,75,0,0
15:09:54,88,60,58.2,47.6,75,0,0
15:09:55,89,60,58.2,47.6,75,0,0
15:09:56,90,60,58.2,47.6,75,0,0
15:09:57,91,60,58.2,47.6,75,0,0
15:09:58,92,60,58.1,47.5,75,0,0
15:09:59,93,60,58.2,47.5,75,0,0
15:10:00,94,60,58.1,47.5,75,0,0
15:10:01,95,60,58.1,47.5,75,0,0
15:10:02,96,60,58,47.4,75,0,0
15:10:03,97,60,58,47.4,75,0,0
15:10:04,98,60,58.1,47.5,75,0,0
15:10:05,99,60,58.1,47.4,75,0,0
15:10:06,100,60,58.1,47.5,75,0,0
15:10:07,101,60,58,47.4,75,0,0
15:10:08,102,60,58,47.3,75,0,0
15:10:09,103,60,58,47.3,75,0,0
15:10:10,104,60,58,47.3,75,0,0
15:10:11,105,60,58,47.3,75,0,0
15:10:12,106,60,58,47.3,75,0,0
15:10:13,107,60,58,47.3,75,0,0
15:10:14,108,60,57.9,47.2,75,0,0
15:10:15,109,60,57.9,47.2,75,0,0
15:10:16,110,60,57.9,47.2,50,0,0
15:10:17,111,60,57.9,45.8,50,0,0
15:10:18,112,60,57.9,45.8,50,0,0
15:10:19,113,60,57.8,45.7,50,0,0
15:10:20,114,60,57.8,45.7,50,0,0
15:10:21,115,60,57.8,45.7,50,0,0
15:10:22,116,60,57.8,45.7,50,0,0
15:10:23,117,60,57.8,45.6,50,0,0
15:10:24,118,60,57.8,45.6,50,0,0
15:10:25,119,60,57.8,45.5,50,0,0
15:10:26,120,60,57.8,45.6,50,0,0
15:10:27,121,60,57.8,45.5,50,0,0
15:10:28,122,60,57.8,45.5,50,0,0
15:10:29,123,60,57.8,45.6,50,0,0
15:10:30,124,60,57.7,45.3,50,0,0
15:10:31,125,60,57.7,45.4,50,0,0
15:10:32,126,60,57.7,45.4,50,0,0
15:10:33,127,60,57.7,45.4,50,0,0
15:10:34,128,60,57.7,45.3,50,0,0
15:10:35,129,60,57.6,45.3,25,0,0
15:10:36,130,60,57.7,40.6,25,0,0
15:10:37,131,60,57.6,40.5,25,0,0
15:10:38,132,60,57.6,40.5,25,0,0
15:10:39,133,60,57.6,40.3,25,0,0
15:10:40,134,60,57.6,40.4,25,0,0
15:10:41,135,60,57.6,40.4,25,0,0
15:10:42,136,60,57.5,40.1,25,0,0
15:10:43,137,60,57.6,40.2,25,0,0
15:10:44,138,60,57.5,40,25,0,0
15:10:45,139,60,57.5,40.1,25,0,0
15:10:46,140,60,57.6,40.3,25,0,0
15:10:47,141,60,57.5,40.1,25,0,0
15:10:48,142,60,57.6,40.2,25,0,0
15:10:49,143,60,57.5,40.2,25,0,0
15:10:50,144,60,57.5,39.9,25,0,0
15:10:51,145,60,57.5,40.2,25,0,0
15:10:52,146,60,57.5,39.9,25,0,0
15:10:53,147,60,57.5,39.9,25,0,0
15:10:54,148,60,57.5,39.9,25,0,0
15:10:55,149,60,57.5,40,25,0,0
15:10:56,150,60,57.4,39.8,25,0,0
15:10:57,151,60,57.4,39.7,25,0,0
15:10:58,152,60,57.4,39.5,25,0,0
15:10:59,153,60,57.4,39.6,25,0,0
15:11:00,154,60,57.4,39.7,25,0,0
15:11:01,155,60,57.4,39.6,25,0,0
15:11:02,156,60,57.4,39.5,25,0,0
15:11:03,157,60,57.4,39.5,25,0,0
15:11:04,158,60,57.4,39.5,25,0,0
15:11:05,159,60,57.4,39.5,25,0,0
15:11:06,160,60,57.4,39.5,25,0,0
15:11:07,161,60,57.3,39.3,25,0,0
15:11:08,162,60,57.3,39.3,25,0,0
15:11:09,163,60,57.4,39.5,25,0,0
15:11:10,164,60,57.3,39.4,25,0,0
15:11:11,165,60,57.4,39.4,25,0,0
15:11:12,166,60,57.3,39.2,25,0,0
15:11:13,167,60,57.3,39.3,15,0,0
15:11:14,168,60,57.3,31.8,15,0,0
15:11:15,169,60,57.3,32,15,0,0
15:11:16,170,60,57.3,31.8,15,0,0
15:11:17,171,60,57.2,31.6,15,0,0
15:11:18,172,60,57.3,32.1,15,0,0
15:11:19,173,60,57.3,31.8,15,0,0
15:11:20,174,60,57.2,31.3,15,0,0
15:11:21,175,60,57.2,31.5,15,0,0
15:11:22,176,60,57.2,31.3,15,0,0
15:11:23,177,60,57.2,31.3,15,0,0
15:11:24,178,60,57.2,31.5,15,0,0
15:11:25,179,60,57.2,31.5,15,0,0
15:11:26,180,60,57.2,31.1,15,0,0
15:11:27,181,60,57.2,31.6,15,0,0
15:11:28,182,60,57.2,31.2,15,0,0
15:11:29,183,60,57.2,31.1,15,0,0
15:11:30,184,60,57.1,30.8,15,0,0
15:11:31,185,60,57.1,30.7,15,0,0
15:11:32,186,60,57.2,31.1,15,0,0
15:11:33,187,60,57.1,30.9,15,0,0
15:11:34,188,60,57.2,31.1,15,0,0
15:11:35,189,60,57.1,30.8,15,0,0
15:11:36,190,60,57.1,30.6,15,0,0
15:11:37,191,60,57.1,30.7,15,0,0
15:11:38,192,60,57.1,30.4,15,0,0
15:11:39,193,60,57.1,30.4,15,0,0
15:11:40,194,60,57.1,30.3,15,0,0
15:11:41,195,60,57.1,30.4,15,0,0
15:11:42,196,60,57.1,30.5,15,0,0
15:11:43,197,60,57.1,30.4,15,0,0
15:11:44,198,60,57.1,30.4,15,0,0
15:11:45,199,60,57,29.8,15,0,0
15:11:46,200,60,56.9,29.6,15,0,0
15:11:47,201,60,56.9,29.6,15,0,0
15:11:48,202,60,57,30,15,0,0
15:11:49,203,60,57,29.8,15,0,0
15:11:50,204,60,56.9,29.6,10,0,0
15:11:51,205,60,57,19.5,10,0,0
15:11:52,206,60,57,20.3,10,0,0
15:11:53,207,60,57.2,22.3,10,0,0
15:11:54,208,60,57.6,25.7,10,0,0
15:11:55,209,60,57.8,27.7,10,0,0
15:11:56,210,60,58,30,10,0,0
15:11:57,211,60,58.2,32.4,10,0,0
15:11:58,212,60,58.4,34.2,10,0,0
15:11:59,213,60,58.6,36.2,10,0,0
15:12:00,214,60,58.8,38.2,10,0,0
15:12:01,215,60,59.1,40.6,10,0,0
15:12:02,216,60,59.2,42.3,10,0,0
15:12:03,217,60,59.4,44.1,10,0,0
15:12:04,218,60,59.6,46.4,10,0,0
15:12:05,219,60,59.7,47.4,10,0,0
15:12:06,220,60,59.9,48.6,10,0,0
15:12:07,221,60,59.9,49.1,10,0,0
15:12:08,222,60,59.9,49.3,10,0,0
15:12:09,223,60,60,49.8,10,0,0
15:12:10,224,60,59.9,49,10,0,0
15:12:11,225,60,60,49.8,10,0,0
15:12:12,226,60,60,49.6,10,0,0
15:12:13,227,60,60,49.9,10,0,0
15:12:14,228,60,60,50,10,0,0
15:12:15,229,60,60,49.9,10,0,0
15:12:16,230,60,60,50,10,0,0
15:12:17,231,60,60,50.4,10,0,0
15:12:18,232,60,60,50.4,10,0,0
15:12:19,233,60,60,49.9,10,0,0
15:12:20,234,60,60.1,50.6,10,0,0
15:12:21,235,60,60,49.7,10,0,0
15:12:22,236,60,59.9,49.3,10,0,0
15:12:23,237,60,59.9,48.9,10,0,0
15:12:24,238,60,59.9,48.8,10,0,0
15:12:25,239,60,59.8,48.4,10,0,0
15:12:26,240,60,59.9,48.6,10,0,0
15:12:27,241,60,59.8,48.2,10,0,0
15:12:28,242,60,59.8,48.1,10,0,0
15:12:29,243,60,59.8,47.5,10,0,0
15:12:30,244,60,59.8,47.5,10,0,0
15:12:31,245,60,59.7,47.3,10,0,0
15:12:32,246,60,59.7,47.1,10,0,0
15:12:33,247,60,59.7,47.4,10,0,0
15:12:34,248,60,59.6,46.4,10,0,0
15:12:35,249,60,59.6,46,10,0,0
15:12:36,250,60,59.6,45.9,10,0,0
15:12:37,251,60,59.6,45.7,10,0,0
15:12:38,252,60,59.5,45.5,10,0,0
15:12:39,253,60,59.5,45.5,10,0,0
15:12:40,254,60,59.5,44.6,10,0,0
15:12:41,255,60,59.4,44.2,10,0,0
15:12:42,256,60,59.5,44.6,10,0,0
15:12:43,257,60,59.4,44.4,10,0,0
15:12:44,258,60,59.4,43.8,10,0,0
15:12:45,259,60,59.4,43.5,10,0,0
15:12:46,260,60,59.3,43.3,10,0,0
15:12:47,261,60,59.4,43.9,10,0,0
15:12:48,262,60,59.3,43.1,10,0,0
15:12:49,263,60,59.3,43.1,10,0,0
15:12:50,264,60,59.3,42.7,10,0,0
15:12:51,265,60,59.2,42.3,10,0,0
15:12:52,266,60,59.3,42.8,10,0,0
15:12:53,267,60,59.2,42.2,10,0,0
15:12:54,268,60,59.2,41.8,10,0,0
15:12:55,269,60,59.2,41.9,10,0,0
15:12:56,270,60,59.1,41,10,0,0
15:12:57,271,60,59.2,41.5,10,0,0
15:12:58,272,60,59.2,41.5,10,0,0
15:12:59,273,60,59.1,40.8,10,0,0
15:13:00,274,60,59.1,40.6,10,0,0
15:13:01,275,60,59,40.4,10,0,0
15:13:02,276,60,59,40.1,10,0,0
15:13:03,277,60,59,40.4,10,0,0
15:13:04,278,60,59,39.8,10,0,0
15:13:05,279,60,59,39.8,10,0,0
15:13:06,280,60,58.9,39.4,10,0,0
15:13:07,281,60,58.9,39.3,10,0,0
15:13:08,282,60,58.9,39.4,10,0,0
15:13:09,283,60,59,39.9,10,0,0
15:13:10,284,60,58.9,38.5,10,0,0
15:13:11,285,60,58.8,37.9,10,0,0
15:13:12,286,60,58.9,38.6,10,0,0
15:13:13,287,60,58.8,38.4,10,0,0
