Level Control Trainer (UT35A) -17-Mar-2025 15:30:45, , , , , , ,
Time,Time s,SP %,PV %,OP %,PB %,IT s,DT s
15:22:31,1,60,60.4,31.5,20,30,0
15:22:32,2,60,60.4,31.8,20,30,0
15:22:33,3,60,60.5,32.3,20,30,0
15:22:34,4,60,60.5,32.5,20,30,0
15:22:35,5,60,60.5,32.7,20,30,0
15:22:36,6,60,60.6,32.8,20,30,0
15:22:37,7,60,60.7,33.4,20,30,0
15:22:38,8,60,60.7,33.9,20,30,0
15:22:39,9,60,60.8,34.3,20,30,0
15:22:40,10,60,60.8,34.7,20,30,0
15:22:41,11,60,60.9,35,20,30,0
15:22:42,12,60,60.9,35.5,20,30,0
15:22:43,13,60,60.9,35.6,20,30,0
15:22:44,14,60,61,36.2,20,30,0
15:22:45,15,60,61,36.3,20,30,0
15:22:46,16,60,61,36.6,20,30,0
15:22:47,17,60,61.1,37.1,20,30,0
15:22:48,18,60,61.2,37.8,20,30,0
15:22:49,19,60,61.2,38.2,20,30,0
15:22:50,20,60,61.2,38.5,20,30,0
15:22:51,21,60,61.2,38.7,20,30,0
15:22:52,22,60,61.4,39.8,20,30,0
15:22:53,23,60,61.4,39.9,20,30,0
15:22:54,24,60,61.4,40.3,20,30,0
15:22:55,25,60,61.4,40.6,20,30,0
15:22:56,26,60,61.5,40.9,20,30,0
15:22:57,27,60,61.5,41.6,20,30,0
15:22:58,28,60,61.5,41.6,20,30,0
15:22:59,29,60,61.6,42.5,20,30,0
15:23:00,30,60,61.7,43,20,30,0
15:23:01,31,60,61.7,43.3,20,30,0
15:23:02,32,60,61.8,44.1,20,30,0
15:23:03,33,60,61.7,44.2,20,30,0
15:23:04,34,60,61.8,45,20,30,0
15:23:05,35,60,61.9,45.8,20,30,0
15:23:06,36,60,61.9,46,20,30,0
15:23:07,37,60,61.9,46.5,20,30,0
15:23:08,38,60,61.9,46.9,20,30,0
15:23:09,39,60,62,47.5,20,30,0
15:23:10,40,60,62.1,48.2,20,30,0
15:23:11,41,60,62.1,48.5,20,30,0
15:23:12,42,60,62.2,49.3,20,30,0
15:23:13,43,60,62.2,49.8,20,30,0
15:23:14,44,60,62.1,49.9,20,30,0
15:23:15,45,60,62.1,50,20,30,0
15:23:16,46,60,62.1,50.4,20,30,0
15:23:17,47,60,62.1,50.8,20,30,0
15:23:18,48,60,62.1,50.9,20,30,0
15:23:19,49,60,62,51,20,30,0
15:23:20,50,60,61.9,51,20,30,0
15:23:21,51,60,61.9,51,20,30,0
15:23:22,52,60,61.9,51.2,20,30,0
15:23:23,53,60,61.8,51.2,20,30,0
15:23:24,54,60,61.7,51.1,20,30,0
15:23:25,55,60,61.6,51.1,20,30,0
15:23:26,56,60,61.6,51,20,30,0
15:23:27,57,60,61.5,51,20,30,0
15:23:28,58,60,61.6,51.8,20,30,0
15:23:29,59,60,61.5,51.3,20,30,0
15:23:30,60,60,61.4,51.2,20,30,0
15:23:31,61,60,61.4,51.2,20,30,0
15:23:32,62,60,61.3,51.2,20,30,0
15:23:33,63,60,61.2,51,20,30,0
15:23:34,64,60,61.2,50.9,20,30,0
15:23:35,65,60,61.1,50.7,20,30,0
15:23:36,66,60,61.1,50.8,20,30,0
15:23:37,67,60,61,50.8,20,30,0
15:23:38,68,60,61,50.6,20,30,0
15:23:39,69,60,60.9,50.4,20,30,0
15:23:40,70,60,60.9,50.6,20,30,0
15:23:41,71,60,60.8,50.4,20,30,0
15:23:42,72,60,60.8,50.2,20,30,0
15:23:43,73,60,60.7,50.1,20,30,0
15:23:44,74,60,60.7,50,20,30,0
15:23:45,75,60,60.6,49.8,20,30,0
15:23:46,76,60,60.6,49.6,20,30,0
15:23:47,77,60,60.5,49.5,20,30,0
15:23:48,78,60,60.5,49.5,20,30,0
15:23:49,79,60,60.4,49.2,20,30,0
15:23:50,80,60,60.4,49.1,20,30,0
15:23:51,81,60,60.3,48.8,20,30,0
15:23:52,82,60,60.3,48.7,20,30,0
15:23:53,83,60,60.2,48.4,20,30,0
15:23:54,84,60,60.2,48.3,20,30,0
15:23:55,85,60,60.2,48.4,20,30,0
15:23:56,86,60,60.1,47.7,20,30,0
