Level Control Trainer (UT35A) -17-Mar-2025 15:42:35, , , , , , ,
Time,Time s,SP %,PV %,OP %,PB %,IT s,DT s
15:39:21,1,60,61.9,46.3,20,30,1
15:39:22,2,60,61.9,45.6,20,30,1
15:39:23,3,60,62,46.3,20,30,1
15:39:24,4,60,62,46.8,20,30,1
15:39:25,5,60,62.1,47.6,20,30,1
15:39:26,6,60,62.1,47.8,20,30,1
15:39:27,7,60,62.1,48.3,20,30,1
15:39:28,8,60,62.1,48.7,20,30,1
15:39:29,9,60,62.2,49.6,20,30,1
15:39:30,10,60,62.2,49.8,20,30,1
15:39:31,11,60,62.2,50.4,20,30,1
15:39:32,12,60,62.2,50.4,20,30,1
15:39:33,13,60,62.1,50.5,20,30,1
15:39:34,14,60,62.1,50.6,20,30,1
15:39:35,15,60,62,51,20,30,1
15:39:36,16,60,62,51,20,30,1
15:39:37,17,60,61.9,50.4,20,30,1
15:39:38,18,60,61.9,51.4,20,30,1
15:39:39,19,60,61.8,50.8,20,30,1
15:39:40,20,60,61.8,51.2,20,30,1
15:39:41,21,60,61.7,51,20,30,1
15:39:42,22,60,61.7,50.8,20,30,1
15:39:43,23,60,61.6,51,20,30,1
15:39:44,24,60,61.6,50.8,20,30,1
15:39:45,25,60,61.5,51.1,20,30,1
15:39:46,26,60,61.5,51.1,20,30,1
15:39:47,27,60,61.4,50.9,20,30,1
15:39:48,28,60,61.3,50.7,20,30,1
15:39:49,29,60,61.2,50.2,20,30,1
15:39:50,30,60,61.2,50.9,20,30,1
15:39:51,31,60,61.2,50.7,20,30,1
15:39:52,32,60,61.2,51.2,20,30,1
15:39:53,33,60,61.1,51.2,20,30,1
15:39:54,34,60,61.1,50.7,20,30,1
15:39:55,35,60,61.1,51.1,20,30,1
15:39:56,36,60,60.9,50.2,20,30,1
15:39:57,37,60,60.9,50,20,30,1
15:39:58,38,60,60.9,50.5,20,30,1
15:39:59,39,60,60.8,50.8,20,30,1
15:40:00,40,60,60.8,50,20,30,1
15:40:01,41,60,60.7,49.3,20,30,1
15:40:02,42,60,60.6,49.8,20,30,1
15:40:03,43,60,60.6,49.2,20,30,1
15:40:04,44,60,60.5,49.2,20,30,1
15:40:05,45,60,60.4,49,20,30,1
15:40:06,46,60,60.5,49.3,20,30,1
15:40:07,47,60,60.4,48.7,20,30,1
15:40:08,48,60,60.3,47.7,20,30,1
15:40:09,49,60,60.3,48.7,20,30,1
15:40:10,50,60,60.3,48.3,20,30,1
15:40:11,51,60,60.2,48.1,20,30,1
15:40:12,52,60,60.2,48.2,20,30,1
15:40:13,53,60,60.1,47.5,20,30,1
15:40:14,54,60,60.1,47.8,20,30,1
15:40:15,55,60,60,47.1,20,30,1
15:40:16,56,60,60,47,20,30,1
15:40:17,57,60,59.9,46.5,20,30,1
15:40:18,58,60,59.9,46.9,20,30,1
15:40:19,59,60,59.9,46.3,20,30,1
15:40:20,60,60,59.8,45.7,20,30,1
15:40:21,61,60,59.8,46,20,30,1
15:40:22,62,60,59.7,45.6,20,30,1
15:40:23,63,60,59.7,45.4,20,30,1
15:40:24,64,60,59.6,45.1,20,30,1
15:40:25,65,60,59.6,44.6,20,30,1
15:40:26,66,60,59.6,44.6,20,30,1
15:40:27,67,60,59.6,44.7,20,30,1
15:40:28,68,60,59.5,43.8,20,30,1
15:40:29,69,60,59.5,44.6,20,30,1
15:40:30,70,60,59.4,43.2,20,30,1
15:40:31,71,60,59.4,43.2,20,30,1
15:40:32,72,60,59.3,42.6,20,30,1
15:40:33,73,60,59.3,42.9,20,30,1
15:40:34,74,60,59.3,42.5,20,30,1
15:40:35,75,60,59.3,42.2,20,30,1
15:40:36,76,60,59.2,41.6,20,30,1
15:40:37,77,60,59.1,41.3,20,30,1
15:40:38,78,60,59.1,40.8,20,30,1
15:40:39,79,60,59.1,40.5,20,30,1
15:40:40,80,60,59,40.2,20,30,1
15:40:41,81,60,59,39.8,20,30,2
15:40:42,82,60,58.9,39.1,20,30,2
15:40:43,83,60,58.9,38.9,20,30,2
15:40:44,84,60,58.9,38,20,30,2
15:40:45,85,60,58.9,38.6,20,30,2
15:40:46,86,60,58.8,37.7,20,30,2
15:40:47,87,60,58.8,37.5,20,30,2
15:40:48,88,60,58.7,37.4,20,30,2
15:40:50,89,60,58.8,37.7,20,30,2
15:40:51,90,60,58.7,36,20,30,2
15:40:52,91,60,58.6,35.9,20,30,2
15:40:53,92,60,58.6,35.6,20,30,2
15:40:54,93,60,58.5,34.6,20,30,2
15:40:55,94,60,58.5,34,20,30,2
15:40:56,95,60,58.5,34.7,20,30,2
15:40:57,96,60,58.4,33.4,20,30,2
15:40:58,97,60,58.5,36,20,30,2
15:40:59,98,60,58.5,33.8,20,30,2
15:41:00,99,60,58.4,31.8,20,30,2
15:41:01,100,60,58.3,31.8,20,30,2
15:41:02,101,60,58.3,31.3,20,30,2
15:41:03,102,60,58.3,31.6,20,30,2
15:41:04,103,60,58.3,31.2,20,30,2
15:41:05,104,60,58.2,30.3,20,30,2
15:41:06,105,60,58.2,29.6,20,30,2
15:41:07,106,60,58.1,29.3,20,30,2
15:41:08,107,60,58.1,28.9,20,30,2
15:41:09,108,60,58.1,28.3,20,30,2
15:41:10,109,60,58.1,28.1,20,30,2
15:41:11,110,60,58,27.5,20,30,2
15:41:12,111,60,58,27.6,20,30,2
15:41:13,112,60,58,26.2,20,30,2
15:41:14,113,60,58,26.5,20,30,2
15:41:15,114,60,58,27.2,20,30,2
15:41:16,115,60,58,25.5,20,30,2
15:41:17,116,60,58,25.6,20,30,2
15:41:18,117,60,58,26,20,30,2
15:41:19,118,60,58,25.8,20,30,2
15:41:20,119,60,58.1,25.6,20,30,2
15:41:21,120,60,58.1,24.9,20,30,2
15:41:22,121,60,58.2,24.9,20,30,2
15:41:23,122,60,58.2,25.6,20,30,2
15:41:24,123,60,58.3,25.4,20,30,2
15:41:25,124,60,58.3,25.6,20,30,2
15:41:26,125,60,58.3,24.3,20,30,2
15:41:27,126,60,58.4,24.9,20,30,2
15:41:28,127,60,58.5,25.3,20,30,2
15:41:29,128,60,58.5,24.8,20,30,2
15:41:30,129,60,58.6,25.7,20,30,2
15:41:31,130,60,58.6,24.9,20,30,2
15:41:32,131,60,58.7,25.1,20,30,2
15:41:33,132,60,58.6,24,20,30,2
15:41:34,133,60,58.8,25.9,20,30,2
15:41:35,134,60,58.7,24.6,20,30,2
15:41:36,135,60,58.8,24.9,20,30,2
15:41:37,136,60,58.9,25,20,30,2
15:41:38,137,60,58.9,25.3,20,30,2
