Flow Control Trainer (UT35A) -17-Mar-2025 15:19:06, , , ,, , , ,
Time,Time s,PV %,SP %,,OP %,PB %,IT s,DT s
15:09:43,1,41.6,50,,41.6,100,0,0
15:09:44,2,41.5,50,,41.5,100,0,0
15:09:45,3,41.5,50,,41.5,100,0,0
15:09:46,4,41.6,50,,41.6,100,0,0
15:09:47,5,41.4,50,,41.4,100,0,0
15:09:48,6,41.4,50,,41.4,100,0,0
15:09:49,7,42,50,,42,100,0,0
15:09:50,8,42,50,,42,100,0,0
15:09:51,9,41.8,50,,41.8,100,0,0
15:09:52,10,41.6,50,,41.6,100,0,0
15:09:53,11,41.6,80,,41.6,100,0,0
15:09:54,12,42.8,80,,12.8,100,0,0
15:09:55,13,51.6,80,,21.6,100,0,0
15:09:56,14,58.9,80,,28.9,100,0,0
15:09:57,15,63.5,80,,33.5,100,0,0
15:09:58,16,64.8,80,,34.8,100,0,0
15:09:59,17,64.1,80,,34.1,100,0,0
15:10:00,18,63.9,80,,33.9,100,0,0
15:10:01,19,63.4,80,,33.4,100,0,0
15:10:02,20,63.1,80,,33.1,100,0,0
15:10:03,21,63.4,80,,33.4,100,0,0
15:10:04,22,63.6,80,,33.6,100,0,0
15:10:05,23,63.7,80,,33.7,100,0,0
15:10:07,24,63.9,80,,33.9,100,0,0
15:10:07,25,63.2,80,,33.2,100,0,0
15:10:09,26,63.1,80,,33.1,100,0,0
15:10:09,27,63,80,,33,100,0,0
15:10:11,28,62.8,80,,32.8,100,0,0
15:10:12,29,63,80,,33,100,0,0
15:10:13,30,63.2,80,,33.2,100,0,0
15:10:14,31,63.2,80,,33.2,100,0,0
15:10:15,32,63.1,80,,33.1,100,0,0
15:10:16,33,63.6,80,,33.6,100,0,0
15:10:17,34,63.5,80,,33.5,100,0,0
15:10:18,35,63.3,80,,33.3,100,0,0
15:10:19,36,63.7,80,,33.7,100,0,0
15:10:20,37,63.3,80,,33.3,100,0,0
15:10:21,38,63.5,80,,33.5,100,0,0
15:10:22,39,63.8,80,,33.8,100,0,0
15:10:23,40,63.4,80,,33.4,100,0,0
15:10:24,41,63.3,80,,33.3,100,0,0
15:10:25,42,63.2,80,,33.2,100,0,0
15:10:26,43,63.4,80,,33.4,100,0,0
15:10:27,44,63.8,80,,33.8,100,0,0
15:10:28,45,64.1,80,,34.1,100,0,0
15:10:29,46,64,80,,34,100,0,0
15:10:30,47,63.4,80,,33.4,100,0,0
15:10:31,48,62.8,80,,32.8,100,0,0
15:10:32,49,63.4,80,,33.4,100,0,0
15:10:33,50,63,80,,33,100,0,0
15:10:34,51,63.3,80,,33.3,100,0,0
15:10:35,52,63.5,80,,33.5,100,0,0
15:10:36,53,63.8,80,,33.8,100,0,0
15:10:37,54,63.7,80,,33.7,100,0,0
15:10:38,55,63.7,80,,33.7,100,0,0
15:10:39,56,63.1,80,,33.1,100,0,0
15:10:40,57,63.4,80,,33.4,100,0,0
15:10:41,58,63.5,80,,33.5,100,0,0
15:10:42,59,63.4,80,,33.4,100,0,0
15:10:43,60,63.3,80,,33.3,100,0,0
15:10:44,61,63.7,80,,33.7,100,0,0
15:10:45,62,63.4,80,,33.4,100,0,0
15:10:46,63,63.5,80,,33.5,100,0,0
15:10:47,64,63.4,80,,33.4,100,0,0
15:10:48,65,64,80,,34,100,0,0
15:10:49,66,63.5,80,,33.5,100,0,0
15:10:50,67,63,80,,33,100,0,0
15:10:51,68,63,80,,33,100,0,0
15:10:52,69,63.5,80,,33.5,100,0,0
15:10:53,70,63.3,80,,33.3,100,0,0
15:10:54,71,63,80,,33,100,0,0
15:10:55,72,62.8,80,,32.8,100,0,0
15:10:56,73,63,80,,33,100,0,0
15:10:57,74,63.1,80,,33.1,100,0,0
15:10:58,75,62.8,80,,32.8,100,0,0
15:10:59,76,63.2,80,,33.2,100,0,0
15:11:00,77,63.6,80,,33.6,100,0,0
15:11:01,78,64.2,80,,34.2,100,0,0
15:11:02,79,64,80,,34,100,0,0
15:11:03,80,63.8,80,,33.8,100,0,0
15:11:04,81,63.6,80,,33.6,100,0,0
15:11:05,82,63.7,80,,33.7,100,0,0
15:11:06,83,64.1,80,,34.1,100,0,0
15:11:07,84,63.5,80,,33.5,100,0,0
15:11:08,85,63,80,,33,100,0,0
15:11:09,86,62.9,80,,32.9,100,0,0
15:11:10,87,62.8,80,,32.8,100,0,0
15:11:11,88,63.5,80,,33.5,100,0,0
15:11:12,89,63.5,80,,33.5,100,0,0
15:11:13,90,63.3,80,,33.3,100,0,0
15:11:14,91,63.3,80,,33.3,100,0,0
15:11:15,92,63.1,80,,33.1,100,0,0
15:11:16,93,63.4,80,,33.4,100,0,0
15:11:17,94,63.9,80,,33.9,100,0,0
15:11:18,95,63.5,80,,33.5,100,0,0
15:11:19,96,63.4,80,,33.4,100,0,0
15:11:20,97,63.4,80,,33.4,100,0,0
15:11:21,98,62.7,80,,32.7,100,0,0
15:11:22,99,63.2,80,,33.2,100,0,0
15:11:23,100,63.2,80,,33.2,100,0,0
15:11:24,101,63.4,80,,33.4,100,0,0
15:11:25,102,63.2,80,,33.2,100,0,0
15:11:26,103,63.6,80,,33.6,100,0,0
15:11:27,104,63.4,80,,33.4,100,0,0
15:11:28,105,63.3,80,,33.3,100,0,0
15:11:29,106,63.2,80,,33.2,100,0,0
15:11:30,107,63.3,80,,33.3,100,0,0
15:11:31,108,63.3,80,,33.3,100,0,0
15:11:32,109,63.4,80,,33.4,100,0,0
15:11:33,110,63.5,80,,33.5,100,0,0
15:11:34,111,63.4,80,,33.4,100,0,0
15:11:35,112,63.7,80,,33.7,100,0,0
15:11:36,113,63.4,80,,33.4,100,0,0
15:11:37,114,63.6,80,,33.6,100,0,0
15:11:38,115,63.2,80,,33.2,100,0,0
15:11:39,116,63.4,80,,33.4,100,0,0
15:11:40,117,63.3,80,,33.3,100,0,0
15:11:41,118,63.3,80,,33.3,100,0,0
15:11:42,119,62.8,80,,32.8,100,0,0
15:11:43,120,63.2,80,,33.2,100,0,0
15:11:44,121,62.9,80,,32.9,100,0,0
15:11:45,122,63,80,,33,100,0,0
15:11:46,123,63.2,80,,33.2,100,0,0
15:11:47,124,63.7,80,,33.7,100,0,0
15:11:48,125,63.8,80,,33.8,100,0,0
15:11:49,126,64.1,80,,34.1,100,0,0
15:11:50,127,63.8,80,,33.8,100,0,0
15:11:51,128,63.6,80,,33.6,100,0,0
15:11:52,129,63,80,,33,100,0,0
15:11:53,130,63.1,80,,33.1,100,0,0
15:11:54,131,63.2,80,,33.2,100,0,0
15:11:55,132,62.9,80,,32.9,100,0,0
15:11:56,133,62.8,80,,32.8,100,0,0
15:11:57,134,63,80,,33,100,0,0
15:11:58,135,63.4,80,,33.4,100,0,0
15:11:59,136,63.4,80,,33.4,100,0,0
15:12:00,137,63.2,80,,33.2,100,0,0
15:12:01,138,63.3,80,,33.3,100,0,0
15:12:02,139,63.5,80,,33.5,100,0,0
15:12:03,140,63.7,80,,33.7,100,0,0
15:12:04,141,63.7,80,,33.7,100,0,0
15:12:05,142,64.2,80,,34.2,100,0,0
15:12:06,143,64.3,80,,34.3,100,0,0
15:12:07,144,64,80,,34,100,0,0
15:12:08,145,63.5,80,,33.5,100,0,0
15:12:09,146,63.4,80,,33.4,100,0,0
15:12:10,147,63.3,80,,33.3,100,0,0
15:12:11,148,63.4,80,,33.4,100,0,0
15:12:12,149,63.7,80,,33.7,100,0,0
15:12:13,150,63.4,80,,33.4,100,0,0
15:12:14,151,63.1,80,,33.1,100,0,0
15:12:15,152,63.3,80,,33.3,100,0,0
15:12:16,153,63.2,80,,33.2,100,0,0
15:12:17,154,63.3,80,,33.3,100,0,0
15:12:18,155,62.9,80,,32.9,100,0,0
15:12:19,156,62.9,80,,32.9,100,0,0
15:12:20,157,62.5,80,,32.5,100,0,0
15:12:21,158,63,80,,33,100,0,0
15:12:22,159,63.4,80,,33.4,100,0,0
15:12:23,160,63.7,80,,33.7,100,0,0
15:12:24,161,63.4,80,,33.4,100,0,0
