Flow Control Trainer (UT35A) -24-Mar-2025 15:45:47, , , , , , ,
Time,Time s,SP %,PV %,OP %,PB %,IT s,DT s
15:25:23,1,50,51.4,46.5,100,20,0
15:25:24,2,50,51.3,46.6,100,20,0
15:25:25,3,50,51.3,46.6,100,20,0
15:25:26,4,50,51.2,46.5,100,20,0
15:25:27,5,50,51.3,46.8,100,20,0
15:25:28,6,50,51.3,46.8,100,20,0
15:25:29,7,50,51.5,47.1,100,20,0
15:25:30,8,50,51.6,47.2,100,20,0
15:25:31,9,50,51.7,47.4,100,20,0
15:25:32,10,50,51.5,47.3,100,20,0
15:25:33,11,50,51.2,47.1,100,20,0
15:25:34,12,50,51.3,47.3,100,20,0
15:25:35,13,50,51.5,47.5,100,20,0
15:25:36,14,50,51.6,47.7,100,20,0
15:25:37,15,50,51.5,47.7,100,20,0
15:25:38,16,50,51.4,47.6,100,20,0
15:25:39,17,50,51.5,47.8,100,20,0
15:25:40,18,50,51.5,47.9,100,20,0
15:25:41,19,50,51.5,48,100,20,0
15:25:42,20,50,51.2,47.8,100,20,0
15:25:43,21,50,51.1,47.7,100,20,0
15:25:44,22,50,51.2,47.8,100,20,0
15:25:45,23,50,51.2,47.9,100,20,0
15:25:46,24,50,51.3,48.1,100,20,0
15:25:47,25,50,51.3,48.2,100,20,0
15:25:48,26,50,51.8,48.7,100,20,0
15:25:49,27,50,51.9,48.9,100,20,0
15:25:50,28,50,51.8,48.9,100,20,0
15:25:51,29,50,51.5,48.7,100,20,0
15:25:52,30,50,51.5,48.8,100,20,0
15:25:53,31,50,51.6,48.9,100,20,0
15:25:54,32,50,51.4,48.8,100,20,0
15:25:55,33,50,51.2,48.7,100,20,0
15:25:56,34,50,50.8,48.3,100,20,0
15:25:57,35,50,50.6,48.2,100,20,0
15:25:58,36,50,50.2,47.8,100,20,0
15:25:59,37,50,50.2,47.8,100,20,0
15:26:00,38,50,50.3,47.9,100,20,0
15:26:01,39,50,50,47.7,100,20,0
15:26:02,40,80,50.1,47.7,100,20,0
15:26:03,41,80,52.1,18.3,100,20,0
15:26:04,42,80,60.9,25.9,100,20,0
15:26:05,43,80,68.1,32.4,100,20,0
15:26:06,44,80,72.3,36.1,100,20,0
15:26:07,45,80,73.2,36.7,100,20,0
15:26:08,46,80,73,36.1,100,20,0
15:26:09,47,80,72.5,35.3,100,20,0
15:26:10,48,80,72.1,34.5,100,20,0
15:26:11,49,80,72.1,34.1,100,20,0
15:26:12,50,80,71.6,33.2,100,20,0
15:26:13,51,80,71.7,32.9,100,20,0
15:26:14,52,80,71.8,32.6,100,20,0
15:26:15,53,80,71.7,32.1,100,20,0
15:26:16,54,80,71.7,31.6,100,20,0
15:26:17,55,80,71.6,31.1,100,20,0
15:26:18,56,80,71.7,30.7,100,20,0
15:26:19,57,80,71.5,30.1,100,20,0
15:26:20,58,80,71.3,29.5,100,20,0
15:26:21,59,80,71.2,28.9,100,20,0
15:26:22,60,80,71.4,28.7,100,20,0
15:26:23,61,80,71.3,28.1,100,20,0
15:26:24,62,80,71.5,27.9,100,20,0
15:26:25,63,80,71.4,27.4,100,20,0
15:26:26,64,80,71.4,27,100,20,0
15:26:27,65,80,71.6,26.7,100,20,0
15:26:28,66,80,71.5,26.3,100,20,0
15:26:29,67,80,71.6,25.9,100,20,0
15:26:30,68,80,71.5,25.3,100,20,0
15:26:31,69,80,71.4,24.8,100,20,0
15:26:32,70,80,72.2,25.3,100,20,0
15:26:33,71,80,72.8,25.4,100,20,0
15:26:34,72,80,73.5,25.8,100,20,0
15:26:35,73,80,73.9,25.9,100,20,0
15:26:36,74,80,74.1,25.8,100,20,0
15:26:37,75,80,74.3,25.7,100,20,0
15:26:38,76,80,74.3,25.4,100,20,0
15:26:39,77,80,74.5,25.3,100,20,0
15:26:40,78,80,74.5,25.1,100,20,0
15:26:41,79,80,74.5,24.8,100,20,0
15:26:42,80,80,74.3,24.3,100,20,0
15:26:43,81,80,74.4,24.2,100,20,0
15:26:44,82,80,74.5,24,100,20,0
15:26:45,83,80,74.9,24.1,100,20,0
15:26:46,84,80,75.7,24.6,100,20,0
15:26:47,85,80,75.9,24.6,100,20,0
15:26:48,86,80,76.1,24.6,100,20,0
15:26:49,87,80,75.8,24.1,100,20,0
15:26:50,88,80,75.9,24,100,20,0
15:26:51,89,80,75.8,23.8,100,20,0
15:26:52,90,80,76,23.7,100,20,0
15:26:53,91,80,76.2,23.7,100,20,0
15:26:54,92,80,76.3,23.7,100,20,0
15:26:55,93,80,76.3,23.5,100,20,0
15:26:56,94,80,76.3,23.3,100,20,0
15:26:57,95,80,76.5,23.3,100,20,0
15:26:58,96,80,77,23.7,100,20,0
15:26:59,97,80,77.2,23.7,100,20,0
15:27:00,98,80,77.2,23.6,100,20,0
15:27:01,99,80,77.1,23.3,100,20,0
15:27:02,100,80,77.1,23.2,100,20,0
15:27:04,101,80,77.2,23.2,100,20,0
15:27:05,102,80,77.3,23.1,100,20,0
15:27:05,103,80,77.2,22.9,100,20,0
15:27:06,104,80,77.2,22.7,100,20,0
15:27:07,105,80,77.3,22.7,100,20,0
15:27:08,106,80,77.3,22.5,100,20,0
15:27:09,107,80,77.4,22.6,100,20,0
15:27:10,108,80,77.9,22.9,100,20,0
15:27:11,109,80,78.1,23,100,20,0
15:27:13,110,80,78.4,23.2,100,20,0
15:27:13,111,80,78.6,23.3,100,20,0
15:27:14,112,80,78.5,23.2,100,20,0
15:27:15,113,80,78.8,23.4,100,20,0
15:27:16,114,80,78.8,23.3,100,20,0
15:27:17,115,80,78.6,23,100,20,0
15:27:19,116,80,78.4,22.7,100,20,0
15:27:19,117,80,78.3,22.6,100,20,0
15:27:20,118,80,78.6,22.9,100,20,0
15:27:21,119,80,78.5,22.7,100,20,0
15:27:23,120,80,78.5,22.6,100,20,0
15:27:23,121,80,78.8,22.8,100,20,0
15:27:24,122,80,78.5,22.4,100,20,0
15:27:25,123,80,78.4,22.3,100,20,0
15:27:26,124,80,78.6,22.4,100,20,0
15:27:27,125,80,78.6,22.4,100,20,0
15:27:28,126,80,78.6,22.3,100,20,0
15:27:29,127,80,78.6,22.2,100,20,0
15:27:30,128,80,79.2,22.7,100,20,0
15:27:31,129,80,79.4,22.9,100,20,0
15:27:32,130,80,79.2,22.6,100,20,0
15:27:33,131,80,78.9,22.3,100,20,0
15:27:34,132,80,78.9,22.2,100,20,0
15:27:35,133,80,78.9,22.2,100,20,0
15:27:36,134,80,78.9,22.1,100,20,0
15:27:38,135,80,79.2,22.4,100,20,0
15:27:39,136,80,79.5,22.7,100,20,0
15:27:40,137,80,79.6,22.8,100,20,0
15:27:41,138,80,79.7,22.9,100,20,0
15:27:42,139,80,79.7,22.8,100,20,0
15:27:42,140,80,79.9,23,100,20,0
15:27:43,141,80,80.1,23.2,100,20,0
15:27:45,142,80,80.2,23.3,100,20,0
15:27:46,143,80,80.2,23.3,100,20,0
15:27:47,144,80,80.2,23.4,100,20,0
15:27:48,145,80,80.2,23.3,100,20,0
15:27:49,146,80,80.1,23.3,100,20,0
15:27:50,147,80,80.2,23.4,100,20,0
15:27:51,148,80,80.3,23.5,100,20,0
15:27:52,149,80,80.5,23.7,100,20,0
15:27:53,150,80,80.4,23.7,100,20,0
15:27:54,151,80,80.3,23.5,100,20,0
15:27:55,152,80,80,23.3,100,20,0
15:27:56,153,80,80.2,23.5,100,20,0
15:27:57,154,80,80.2,23.4,100,20,0
15:27:58,155,80,79.9,23.2,100,20,0
15:27:59,156,80,80.2,23.5,100,20,0
15:28:00,157,80,80.3,23.6,100,20,0
15:28:01,158,80,80,23.3,100,20,0
15:28:02,159,80,79.8,23.1,100,20,0
15:28:03,160,80,79.8,23.1,100,20,0
15:28:04,161,80,79.6,22.9,100,20,0
15:28:05,162,80,79.9,23.2,100,20,0
15:28:06,163,80,79.8,23,100,20,0
15:28:07,164,80,79.9,23.1,100,20,0
15:28:08,165,80,80.1,23.4,100,20,0
15:28:09,166,80,80.1,23.3,100,20,0
15:28:10,167,80,80.3,23.5,100,20,0
15:28:11,168,80,80.4,23.6,100,20,0
15:28:12,169,80,80.3,23.6,100,20,0
15:28:13,170,80,80.2,23.5,100,20,0
15:28:14,171,80,80.2,23.5,100,20,0
15:28:15,172,80,80,23.3,100,20,0
15:28:16,173,80,79.8,23.1,100,20,0
15:28:17,174,80,80.1,23.4,100,20,0
