Flow Control Trainer (UT35A) -24-Mar-2025 16:00:32, , , , , , ,
Time,Time s,SP %,PV %,OP %,PB %,IT s,DT s
15:46:57,1,50,49.4,47.2,100,20,1
15:46:58,2,50,49.3,47.2,100,20,1
15:46:59,3,50,49.2,47.1,100,20,1
15:47:00,4,50,49.3,47.2,100,20,1
15:47:01,5,50,49.3,47.1,100,20,1
15:47:02,6,50,49.4,47.2,100,20,1
15:47:03,7,50,49.2,46.9,100,20,1
15:47:04,8,50,49.4,47.3,100,20,1
15:47:05,9,50,49.3,46.7,100,20,1
15:47:06,10,50,49,46.4,100,20,1
15:47:07,11,50,49.2,46.9,100,20,1
15:47:08,12,50,49.3,47.1,100,20,1
15:47:09,13,50,49.3,46.8,100,20,1
15:47:10,14,50,49.5,47.1,100,20,1
15:47:11,15,50,49.6,47.2,100,20,1
15:47:12,16,50,49.6,47,100,20,1
15:47:13,17,50,49.8,47.4,100,20,1
15:47:14,18,50,49.7,47,100,20,1
15:47:15,19,50,49.8,47.1,100,20,1
15:47:16,20,50,49.8,47.4,100,20,1
15:47:17,21,50,49.6,46.7,100,20,1
15:47:18,22,50,49.8,47.6,100,20,1
15:47:19,23,50,49.7,46.9,100,20,1
15:47:20,24,50,49.8,47.1,100,20,1
15:47:21,25,50,49.7,47,100,20,1
15:47:22,26,50,49.6,46.7,100,20,1
15:47:23,27,50,49.5,46.7,100,20,1
15:47:24,28,50,49.4,46.8,100,20,1
15:47:25,29,50,49.4,46.6,100,20,1
15:47:26,30,80,49.4,46.7,100,20,1
15:47:27,31,80,50.2,17.9,100,20,1
15:47:28,32,80,58.8,32.5,100,20,1
15:47:29,33,80,65.9,36,100,20,1
15:47:30,34,80,69.1,35,100,20,1
15:47:31,35,80,70.7,35.1,100,20,1
15:47:32,36,80,71.4,34.6,100,20,1
15:47:33,37,80,72.2,34.8,100,20,1
15:47:34,38,80,72.7,34.8,100,20,1
15:47:35,39,80,73,34.4,100,20,1
15:47:36,40,80,72.9,33.4,100,20,1
15:47:37,41,80,72.7,33.1,100,20,1
15:47:38,42,80,72.9,33.3,100,20,1
15:47:39,43,80,73.2,33.1,100,20,1
15:47:40,44,80,73.2,32.7,100,20,1
15:47:41,45,80,73.1,32.1,100,20,1
15:47:42,46,80,72.9,31.4,100,20,1
15:47:43,47,80,72.7,31,100,20,1
15:47:44,48,80,72.9,31.2,100,20,1
15:47:45,49,80,73,30.9,100,20,1
15:47:46,50,80,72.9,30.1,100,20,1
15:47:47,51,80,72.9,29.9,100,20,1
15:47:48,52,80,73,29.4,100,20,1
15:47:49,53,80,72.6,28.6,100,20,1
15:47:50,54,80,72.8,28.7,100,20,1
15:47:51,55,80,72.8,28.2,100,20,1
15:47:52,56,80,73.1,28.6,100,20,1
15:47:53,57,80,72.8,27.1,100,20,1
15:47:54,58,80,72.8,27.4,100,20,1
15:47:55,59,80,72.7,26.7,100,20,1
15:47:56,60,80,72.8,26.5,100,20,1
15:47:57,61,80,72.5,25.5,100,20,1
15:47:58,62,80,72.3,25.2,100,20,1
15:47:59,63,80,72.4,25.2,100,20,1
15:48:00,64,80,72.7,25.1,100,20,1
15:48:01,65,80,73.1,25.3,100,20,1
15:48:02,66,80,73.2,24.8,100,20,1
15:48:03,67,80,73.7,25.3,100,20,1
15:48:04,68,80,73.9,24.7,100,20,1
15:48:05,69,80,73.6,24,100,20,1
15:48:06,70,80,74,24.9,100,20,1
15:48:07,71,80,74.9,25.7,100,20,1
15:48:08,72,80,75.6,26,100,20,1
15:48:09,73,80,75.7,25.2,100,20,1
15:48:10,74,80,75.7,24.9,100,20,1
15:48:11,75,80,75.8,25,100,20,1
15:48:12,76,80,76.1,25.1,100,20,1
15:48:13,77,80,76,24.7,100,20,1
15:48:14,78,80,76.2,24.5,100,20,1
15:48:15,79,80,75.8,23.6,100,20,1
15:48:16,80,80,75.3,22.9,100,20,1
15:48:17,81,80,75.7,23.9,100,20,1
15:48:18,82,80,76.2,24.3,100,20,1
15:48:19,83,80,76.2,23.6,100,20,1
15:48:20,84,80,76.2,23.4,100,20,1
15:48:21,85,80,76.4,23.8,100,20,1
15:48:22,86,80,76.5,23.4,100,20,1
15:48:23,87,80,77.1,24.3,100,20,1
15:48:24,88,80,77.1,23.7,100,20,1
15:48:25,89,80,77,23.3,100,20,1
15:48:26,90,80,77,23.2,100,20,1
15:48:27,91,80,77.2,23.6,100,20,1
15:48:28,92,80,77.3,23.1,100,20,1
15:48:29,93,80,77.2,23,100,20,1
15:48:30,94,80,77.3,23,100,20,1
15:48:31,95,80,77.2,22.8,100,20,1
15:48:32,96,80,77.3,22.7,100,20,1
15:48:33,97,80,77.5,23.1,100,20,1
15:48:34,98,80,77.9,23.3,100,20,1
15:48:35,99,80,78.1,23.1,100,20,1
15:48:36,100,80,78.2,23.5,100,20,1
15:48:37,101,80,78.5,23.6,100,20,1
15:48:38,102,80,78.4,23.4,100,20,1
15:48:39,103,80,78.5,23.1,100,20,1
15:48:40,104,80,78.2,22.7,100,20,1
15:48:41,105,80,78.3,23,100,20,1
15:48:42,106,80,78.2,22.6,100,20,1
15:48:43,107,80,78.2,22.8,100,20,1
15:48:44,108,80,78.4,23,100,20,1
15:48:45,109,80,78.5,22.8,100,20,1
15:48:46,110,80,78.7,23,100,20,1
15:48:47,111,80,78.6,22.5,100,20,1
15:48:48,112,80,78.3,22.1,100,20,1
15:48:49,113,80,78.5,22.9,100,20,1
15:48:50,114,80,79,23.3,100,20,1
15:48:51,115,80,79.1,23.4,100,20,1
15:48:52,116,80,79.3,23.2,100,20,1
15:48:53,117,80,79.4,23.1,100,20,1
15:48:54,118,80,79.3,23,100,20,1
15:48:55,119,80,79.4,23.3,100,20,1
15:48:56,120,80,79.4,23,100,20,1
15:48:58,121,80,79.8,23.8,100,20,1
15:48:58,122,80,79.8,23.4,100,20,1
15:48:59,123,80,79.8,23.7,100,20,1
15:49:00,124,80,79.8,23.4,100,20,1
15:49:01,125,80,79.8,23.6,100,20,1
15:49:02,126,80,80.1,23.7,100,20,1
15:49:03,127,80,80.1,23.6,100,20,1
15:49:04,128,80,79.8,23.2,100,20,1
15:49:05,129,80,79.5,23,100,20,1
15:49:06,130,80,79.7,23.7,100,20,1
15:49:07,131,80,79.8,23.4,100,20,1
15:49:08,132,80,79.6,22.9,100,20,1
15:49:09,133,80,79.7,23.2,100,20,1
15:49:10,134,80,79.5,22.8,100,20,1
15:49:11,135,80,79.7,23.4,100,20,1
15:49:12,136,80,79.7,23.2,100,20,1
15:49:13,137,80,79.9,23.6,100,20,1
15:49:14,138,80,80.2,23.9,100,20,1
15:49:15,139,80,80.2,23.6,100,20,1
15:49:16,140,80,80.3,23.7,100,20,1
15:49:17,141,80,80,23.2,100,20,1
15:49:18,142,80,80,23.7,100,20,1
15:49:19,143,80,80.1,23.8,100,20,1
15:49:21,144,80,79.8,23,100,20,1
15:49:21,145,80,80,23.7,100,20,1
15:49:22,146,80,80,23.5,100,20,1
15:49:23,147,80,79.8,23.1,100,20,1
15:49:24,148,80,80.1,23.8,100,20,1
15:49:25,149,80,80.1,23.7,100,20,1
15:49:27,150,80,80.2,23.7,100,20,1
15:49:27,151,80,79.8,22.9,100,20,1
15:49:28,152,80,80,23.9,100,20,1
15:49:30,153,80,80.1,23.6,100,20,1
15:49:30,154,80,80.4,24.2,100,20,1
15:49:31,155,80,80.1,23.5,100,20,1
15:49:32,156,80,80.3,24.1,100,20,1
15:49:33,157,80,80.1,23.3,100,20,1
15:49:34,158,80,79.9,23.5,100,20,1
15:49:36,159,80,80.2,24,100,20,1
15:49:36,160,80,80.4,24,100,20,1
15:49:37,161,80,80.6,24.4,100,20,1
15:49:39,162,80,80.3,23.4,100,20,1
15:49:39,163,80,80.1,23.3,100,20,1
15:49:40,164,80,80.2,24.2,100,20,1
15:49:41,165,80,80.3,24.1,100,20,1
15:49:42,166,80,80.5,24.2,100,20,1
15:49:43,167,80,80.4,24.1,100,20,1
15:49:44,168,80,80.3,23.9,100,20,1
15:49:46,169,80,80.6,24.5,100,20,1
15:49:46,170,80,80.3,23.8,100,20,1
15:49:48,171,80,80.1,23.9,100,20,1
15:49:49,172,80,80.1,23.9,100,20,1
15:49:49,173,80,80.6,24.9,100,20,1
15:49:51,174,80,80.6,24.4,100,20,1
15:49:52,175,80,80.7,24.7,100,20,1
15:49:53,176,80,80.9,25,100,20,1
15:49:54,177,80,80.8,24.5,100,20,1
15:49:55,178,80,80.8,24.6,100,20,1
15:49:56,179,80,80.7,24.8,100,20,1
15:49:57,180,80,80.4,24.2,100,20,1
15:49:58,181,80,80.2,23.9,100,20,1
15:49:59,182,80,80.2,24.3,100,20,1
15:50:00,183,80,80.2,24.3,100,20,1
15:50:01,184,80,80.1,24.1,100,20,1
15:50:02,185,80,80.1,24.1,100,20,1
15:50:03,186,80,80.2,24.4,100,20,1
15:50:04,187,80,80.5,24.9,100,20,1
15:50:05,188,80,80.3,24.1,100,20,1
15:50:06,189,80,80.5,24.7,100,20,1
15:50:07,190,80,80.6,25,100,20,1
15:50:08,191,80,80.7,25,100,20,1
15:50:09,192,80,80.6,24.7,100,20,1
15:50:10,193,80,80.6,25.1,100,20,1
15:50:11,194,80,80.7,25,100,20,1
15:50:12,195,80,80.4,24.4,100,20,1
15:50:13,196,80,80.4,24.9,100,20,1
15:50:14,197,80,80.3,24.5,100,20,1
15:50:15,198,80,80.3,24.7,100,20,1
15:50:16,199,80,80.3,24.8,100,20,1
15:50:17,200,80,80.3,24.7,100,20,1
15:50:18,201,80,80.3,24.6,100,20,1
15:50:19,202,80,80,24.3,100,20,1
15:50:20,203,80,80,24.4,100,20,1
15:50:21,204,80,80.1,24.5,100,20,1
15:50:22,205,80,80,24.2,100,20,1
15:50:23,206,80,79.7,24,100,20,1
15:50:24,207,80,80,24.8,100,20,1
15:50:25,208,80,80.2,25.1,100,20,1
15:50:26,209,80,80.5,25.1,100,20,1
15:50:27,210,80,80.4,24.6,100,20,1
15:50:28,211,80,80.3,24.8,100,20,1
15:50:29,212,80,80.3,25,100,20,1
15:50:30,213,80,80,24.2,100,20,1
15:50:31,214,80,80.3,25.1,100,20,1
15:50:32,215,80,80.3,24.9,100,20,1
15:50:33,216,80,80.4,25.1,100,20,1
15:50:34,217,80,80.3,24.9,100,20,1
15:50:35,218,80,80.4,25.1,100,20,1
15:50:36,219,80,80.2,24.5,100,20,1
15:50:37,220,80,80.1,24.6,100,20,1
15:50:38,221,80,80.1,24.7,100,20,1
15:50:39,222,80,80.2,25.1,100,20,1
15:50:40,223,80,80.2,24.8,100,20,1
15:50:41,224,80,80.2,24.9,100,20,1
15:50:42,225,80,80.1,24.6,100,20,1
15:50:43,226,80,80.2,25,100,20,1
15:50:44,227,80,80.1,24.9,100,20,1
15:50:45,228,80,80,24.5,100,20,1
15:50:46,229,80,79.9,24.5,100,20,1
15:50:47,230,80,79.9,24.8,100,20,1
15:50:48,231,80,79.9,24.5,100,20,1
15:50:49,232,80,79.9,24.7,100,20,1
15:50:50,233,80,80.2,25.3,100,20,1
15:50:51,234,80,80.1,24.5,100,20,1
15:50:52,235,80,79.9,24.5,100,20,1
15:50:53,236,80,80.2,25.3,100,20,1
15:50:54,237,80,80.5,25.3,100,20,1
15:50:55,238,80,80.3,24.8,100,20,1
15:50:56,239,80,80.4,25.3,100,20,1
15:50:57,240,80,80.3,25,100,20,1
15:50:58,241,80,80.3,24.8,100,20,1
15:50:59,242,80,80.3,25,100,20,1
15:51:00,243,80,80.2,25,100,20,1
15:51:01,244,80,80,24.5,100,20,1
15:51:02,245,80,80,25,100,20,1
15:51:03,246,80,80.2,25.2,100,20,1
15:51:04,247,80,80.1,24.9,100,20,1
15:51:05,248,50,80.3,25.1,100,20,1
15:51:06,249,50,79,52.1,100,20,1
15:51:07,250,50,67.2,32.6,100,20,1
15:51:08,251,50,60.9,34.1,100,20,1
15:51:09,252,50,61.2,40.1,100,20,1
15:51:10,253,50,62,41.7,100,20,1
15:51:11,254,50,62.5,42.3,100,20,1
15:51:12,255,50,62.6,42.9,100,20,1
15:51:13,256,50,62.9,43.9,100,20,1
15:51:14,257,50,62.9,44.2,100,20,1
15:51:15,258,50,62.4,43.7,100,20,1
15:51:16,259,50,62.1,44.5,100,20,1
15:51:17,260,50,61.7,44.7,100,20,1
15:51:18,261,50,61.7,45.4,100,20,1
15:51:19,262,50,61,44.5,100,20,1
15:51:20,263,50,60.2,44.3,100,20,1
15:51:21,264,50,59.7,44.8,100,20,1
15:51:22,265,50,59.7,45.6,100,20,1
15:51:23,266,50,59.5,45.7,100,20,1
15:51:24,267,50,59.2,45.6,100,20,1
15:51:25,268,50,58.9,45.8,100,20,1
15:51:26,269,50,58.7,46.2,100,20,1
15:51:27,270,50,58.4,46.2,100,20,1
15:51:28,271,50,58.4,47,100,20,1
15:51:29,272,50,58.1,46.7,100,20,1
15:51:30,273,50,57.4,46.1,100,20,1
15:51:31,274,50,56.7,45.6,100,20,1
15:51:32,275,50,56.2,45.9,100,20,1
15:51:33,276,50,56.1,46.4,100,20,1
15:51:34,277,50,56.1,46.5,100,20,1
15:51:35,278,50,55.9,46.6,100,20,1
15:51:36,279,50,55.7,46.8,100,20,1
15:51:37,280,50,55.7,47.3,100,20,1
